14-12-2021	12	B	-	M	3600	Joe Gaunt
14-12-2021	12	G	-	M	8388	TOM WINTERSGILL
16-12-2021	12	B	-	M	3600	Joe Gaunt
16-12-2021	12	B	-	M	3600	JOE GAUNT
16-12-2021	12	B	-	M	3600	Joe Gaunt
16-12-2021	12	B	-	M	3600	Joe Gaunt
16-12-2021	12	B	-	M	3600	Joe Gaunt
16-12-2021	12	B	-	M	3600	Joe Gaunt
16-12-2021	12	B	-	M	3600	Joe Gaunt
16-12-2021	12	B	-	M	3600	Joe Gaunt
16-12-2021	12	B	-	M	3600	jOe gAunt
16-12-2021	12	B	-	M	3600	J Gaunt
16-12-2021	12	B	-	M	3600	J Gaunt
16-12-2021	12	B	-	M	3600	J Gaunt
16-12-2021	12	B	-	M	3600	J Gaunt
16-12-2021	12	B	-	M	3600	J Gaunt
16-12-2021	12	B	JF19F9	M	3276	J Gaunt
20-12-2021	12	B	-	M	3600	J Gaunt
23-12-2021	12	B	-	M	3600	J Gaunt
23-12-2021	12	B	-	M	3600	J Gaunt
23-12-2021	12	B	-	M	3600	J Gaunt
23-12-2021	12	G	-	M	8388	J Gaunt
24-12-2021	12	B	-	M	3600	B Dicken
24-12-2021	12	B	-	M	3600	J Gaunt
30-12-2021	12	B	-	M	3600	J Gaunt
30-12-2021	12	G	nn66g1	M	8304	T T
31-12-2021	12	B	-	M	3600	J Gaunt
